species,sex,ID,color_band,trt,section,site,date,year,nest,age,stage,light,lux,LAeq,LZeq,LAF90,LAeq_N,mass,tarsus,wing,tail,eye,bill.l,bill.tn,bill.d,bill.w,muscle,fat,cp_score,measurer,nb_date,egg_date,,
ATFL,M,2921-17891,KS-WW,Noise,orange,PT3,6/20/25,2025,PT3B3,ASY,Eggs,N,0,40,67.8,32.2,39.26,30.08,25.2,107,97,5.1,17.8,16.4,6.4,7.8,3,0,,CM,5/27/25,6/6/25,,
ATFL,M,2921-49676,YY-GS,Light,yellow,CP12,6/7/25,2025,CP12B14,SY,Eggs,Y,0.56,30.2,58.9,24.2,33.85,28.08,22.5,100.5,95,5.9,16.5,13.25,5.7,7.1,2,0,0,IW,5/12/25,5/20/25,,
ATFL,M,2921-49675,GO-GS,Control,green,CP05,6/6/25,2025,,AHY,Eggs,N,0,31.1,57.2,28.5,,29.43,22.6,103,92,5.3,17.8,12.5,5.7,7.5,2,0,0,IW,,,,
ATFL,M,2921-17884,RR-WS,Light,yellow,CP12,5/15/25,2025,,ASY,TE,Y,,30,60.3,27.3,,29.79,24,102,97,5.45,20.55,15.7,6.4,7.9,4,0,0.5,JH,,,,
ATFL,F,2921-49677,BO-WS,Control,yellow,CP11,6/7/25,2025,CP11B8,ASY,Eggs,N,0,39.4,84.1,34.6,38.33,28.92,22.4,98,94.5,6.6,16.25,13,5.9,8,1,0,0,MT,5/16/25,5/25/25,,
ATFL,M,2921-49678,OS-BO,Control,red,CP08,6/9/25,2025,,AHY,Eggs,N,0,35.9,71.6,32.6,,27.57,20.8,99,94,4.5,18.1,14.4,6,7,2,0,0,TP,,,,
ATFL,M,3251-02964,GO-WS,Control,red,CP08,7/1/25,2025,CP08B2,SY,Chx,N,0,37.4,58.3,30.5,35.83,25.36,23,104,95,5.1,18.5,14.4,6.7,7.1,2,0,0,TP,5/26/25,6/2/25,,
ATFL,F,2921-49665,BW-WS,Light+Noise,blue,TP02,5/16/25,2025,TP02B3,ASY,TE,Y,0.66,33.8,68.8,30.1,43.7,29.11,22.7,102,91,5.6,16.4,14.4,6.1,7.6,2,0,0,TP,6/5/25,6/11/25,,
ATFL,M,2921-49674,GK-OS,Control,green,CP05,6/6/25,2025,,AHY,Eggs,N,0,31.1,57.2,28.5,,29.07,21.9,104,99,5.5,16.9,14.6,6.3,7.7,2,0,1,TP,,,,
ATFL,M,2921-49679,RS-KY,Control,blue,CP02,6/10/25,2025,CP02B15,AHY,Eggs,N,0,39,63.7,37.5,37.51,28.38,24.6,102.5,97,4.8,20.7,16.5,6.4,7.8,1,0,0,TP,5/21/25,5/27/25,,
ATFL,M,2921-49673,RR-WS,Control,green,CP05,6/6/25,2025,CP05B3,ASY,Eggs,N,0,31.1,57.2,28.5,35.2,27.33,21.4,109,108,4,18.9,16,1.9,7.9,2,0,0,TP,5/17/25,5/21/25,,
ATFL,F,2731-41231,YB-WS,Light+Noise,green,TP07,6/6/25,2025,TP07B12,ASY,Eggs,Y,0.74,37,71.3,32.5,34.86,26.83,21.9,105,94,5.2,17.9,13.7,5.6,7.9,2,0,0,TP,5/21/25,5/27/25,,
ATFL,M,2921-49672,YY-BS,Noise,orange,PT3,6/5/25,2025,PT3B5,AHY,Eggs,N,0,40.9,67.9,39,42.62,27.49,21.3,99,94,5.5,18.9,14.8,6.7,8.2,2,0,0,TP,5/16/25,5/20/25,,
ATFL,F,3251-02970,BY-BS,Light,blue,CP02,7/4/25,2025,CP02B4,ASY,Chx,Y,0,42.8,58.6,27.2,36.36,23.26,22.8,91.5,91,4.9,19,15.8,5.7,6.9,2,0,0,TV,5/21/25,6/6/25,,
ATFL,M,2921-49664,OK-GS,Light,pink,PC1,5/22/25,2025,PC1B1,ASY,TE,Y,0.3,24.5,62.9,22.3,24.9,26.43,22.6,99,96,4.7,18.8,14.8,5.55,7.2,3,1,0,TV,5/13/25,,,
ATFL,F,2921-17886,KS-OO,Light+Noise,blue,TP02,6/16/25,2025,TP02B13,SY,Eggs,Y,0.66,32.6,65,30.7,39.05,27.93,22.7,94,94,4.6,18,14.4,6,7.2,2,0,0,TV,5/21/25,6/5/25,,
ATFL,M,2921-17882,RR-KS,Noise,red,PT15,5/12/25,2025,,ASY,TE,N,0,40,65.7,38.4,,27.27,22.8,103.5,104,4.6,18.2,16,6.1,7.2,4,0,0,TV,,,,
ATFL,M,2921-49606,YG-OS,Noise,yellow,TP11,6/11/25,2025,TP11B2,ASY,Eggs,N,0,25.1,56.8,23.9,39.6,28,23.35,101,98,5.15,20.6,16.05,5.7,7.25,3,0,0,TV,5/27/25,5/29/25,,
ATFL,M,2921-17898,BS-WB,Control,pink,PC1,6/26/25,2025,PC1B8,AHY,Eggs,N,0,28.1,62.6,25.1,29.98,27.12,22.5,100,100,4.75,20.5,17,5.55,7.3,3,1,,TV,6/6/25,6/10/25,,
ATFL,M,2921-49669,RO-KS,Light,green,PC6,5/28/25,2025,,ASY,TE,Y,,27.1,58.3,26.1,,28.85,23.4,100.5,97,5.1,20.8,15.5,6,7.3,3,0,,TV,,,,
ATFL,M,2921-49680,OK-BS,Light+Noise,red,PT14,6/11/25,2025,PT14B10,ASY,Eggs,Y,0.43,53.8,71,52.4,48.76,27.51,23.5,101.5,91,4.6,19.7,15.7,6.1,7.3,2,0,0,TV,5/21/25,5/29/25,,
ATFL,M,2921-17899,GS-KO,Light,orange,CP04,6/26/25,2025,CP04B13,ASY,Chx,Y,1.7,28.5,62.1,26.1,33.26,26.48,22.5,100,99,5,19.1,16,5.9,7.35,2,0,,TV,5/22/25,5/25/25,,
ATFL,M,2921-49681,RR-YS,Light+Noise,red,PT14,6/11/25,2025,,ASY,Eggs,Y,,53.8,71,52.4,,27.93,22.2,100,95,5.3,18.55,15.4,5.95,7.35,3,1,0,TV,,,,
ATFL,M,3251-02916,BG-RS,Noise,red,PT15,6/9/25,2025,PT15B7,ASY,Eggs,N,0,34.1,69.6,31,38.1,24.11,20.7,98,95,4.8,18.25,15.3,5.8,7.4,3,1,0,TV,5/24/25,5/29/25,,
ATFL,M,2921-17881,YS-RR,Light,red,PC13,5/4/25,2025,,ASY,TE,Y,,37,65.4,34,,28.58,22.2,98,95,4.7,18.4,14.8,6,7.5,4,0,,TV,,,,
ATFL,F,2921-17886,KS-OO,Light+Noise,blue,TP02,7/3/25,2025,TP02B13,SY,Chx,Y,0.66,38.1,54.3,34.5,39.05,23.99,22.6,94,95,4.8,18.5,14.4,6,7.5,1,0,,TV,5/21/25,6/5/25,,
ATFL,F,2921-49668,WS-WW,Light+Noise,blue,TP02,5/24/25,2025,TP02-ATFL-250610-1230-TV,ASY,TE,Y,0,34,59.6,26.8,,28.73,22,95,90,5.3,17.7,14.75,6,7.6,3,1,0,TV,,,,
ATFL,M,2921-49670,WW-GS,Light,green,PC6,5/28/25,2025,,ASY,TE,Y,,27.1,58.3,26.1,,28.56,22.7,100.5,97,4.6,19.8,16.1,5.7,7.65,4,0,0,TV,,,,
ATFL,M,2921-49683,GY-KS,Control,orange,CP06,6/11/25,2025,CP06B6,ASY,Eggs,N,0,24.3,66.4,22,28.25,28.69,23.5,98.5,94,4.55,19,16.3,5.5,7.7,3,0,0,TV,5/27/25,5/30/25,,
ATFL,M,3251-02969,GS-OY,Light+Noise,blue,TP02,7/3/25,2025,TP02B13,ASY,Chx,Y,0.66,38.1,54.3,,39.05,26.44,23.15,99,97,5.15,18.35,15,5.7,7.7,2,0,,TV,5/21/25,6/5/25,,
ATFL,M,2921-49667,RS-BB,Light+Noise,blue,TP02,5/24/25,2025,TP02-ATFL-250610-1230-TV,ASY,TE,Y,0,34,59.6,26.8,,28.41,23.1,102,100,5,19.05,15.4,6.2,7.7,3,0,0,TV,,,,
ATFL,F,2921-49666,WS-GG,Light,pink,PC1,5/22/25,2025,PC1B1,ASY,TE,Y,0.3,24.5,62.9,22.3,24.9,28.36,22.95,96.5,95,5.05,17.7,14.4,5.9,7.8,3,0,0,TV,5/13/25,,,
ATFL,M,3251-02915,BW-OS,Noise,red,PT15,6/9/25,2025,PT15B7,ASY,Eggs,N,0,34.1,69.6,31,38.1,29.2,22.15,94,93,5.3,18.3,14.8,6.25,7.8,3,0,0,TV,5/24/25,5/29/25,,
ATFL,M,3251-02922,GS-RR,Control,red,CP08,5/25/26,2026,CP08B8,AHY,Eggs,N,0,38.7,65.3,37.2,,29.21,22.6,103,104,5.6,16.1,13.7,5.8,8.3,2,0,1,EM,5/9/26,5/13/26,,
ATFL,F,3251-57376,RW-RS,Control,blue,TP01,6/13/26,2026,TP01B7,ASY,Eggs,N,0,30.6,54.3,29.7,,27.08,23.2,94,89,4.6,18.2,14.6,5.7,7.1,2,0,,TV,5/18/26,5/29/26,,
ATFL,F,3251-57386,RR-BS,Control,yellow,CP11,6/21/26,2026,CP11B7,ASY,Chx,N,0,25.1,70,23.2,,23.63,22.1,93.5,91,4.8,18.1,15,5.8,7.7,1,0,,EM,5/18/26,5/22/26,,
ATFL,M,3251-62808,KO-KS,Control,yellow,CP11,7/4/26,2026,CP11B10,ASY,Eggs,N,0,31.5,58.7,29.8,,28.57,22.8,100,91,5.2,20.8,15.9,6,7.7,2,0,0,TV,6/16/26,6/25/26,,
ATFL,M,3251-02950,GY-YS,Light,red,PC13,5/21/26,2026,PC13B7,ASY,Eggs,Y,0.3,37.3,57.5,35.2,,29.01,22.5,104,97,5.4,19.6,16.3,5.9,7.4,3,0,0,TV,4/29/26,5/7/26,,
ATFL,M,3251-02921,OS-KR,Light,green,TP07,5/28/26,2026,TP07B7,AHY,Eggs,Y,0,34.6,57.7,33,,28.26,22.8,107,95,4.9,19.2,15.5,5.7,7.4,4,0,0,TV,5/5/26,5/14/26,,
ATFL,M,2921-17899,GS-KO,Light,orange,CP04,7/1/26,2026,CP04B3,ASY,Chx,Y,0.82,26.5,67.8,24.1,,27.16,22.5,105,95,5.3,19.3,15.6,6,7.4,3,1,0,TV,6/2/26,6/4/26,,
ATFL,F,3251-62807,KO-WS,Light,orange,CP04,7/1/26,2026,CP04B3,ASY,Chx,Y,0.82,26.5,67.8,24.1,,25.15,22.8,94,90,5.2,18.3,16.2,6,7.4,2,0,,TV,6/2/26,6/4/26,,
ATFL,M,2921-49680,OK-BS,Light+Noise,red,PT14,5/23/26,2026,PT14B9,ASY,Eggs,Y,0.51,36.8,67.1,32.7,,29.01,22.8,101.5,93,5.1,19.4,15.4,6.2,7.4,3,0,0,TV,5/9/26,5/16/26,,
ATFL,F,3251-02948,BB-BS,Light+Noise,blue,TP02,5/26/26,2026,TP02B10,AHY,Eggs,Y,0,34.1,69.4,32.5,,26.64,22.8,95,90,5.2,18.1,14.7,5.9,7.5,3,0,,TV,5/11/26,5/15/26,,
ATFL,M,3251-02949,OM-GS,Light+Noise,blue,TP02,5/26/26,2026,TP02B10,ASY,Eggs,Y,0,34.1,69.4,32.5,,28.76,22.8,101,97,5.3,18.2,15.6,6,7.4,2,0,1,TV,5/11/26,5/15/26,,
ATFL,M,3251-57341,BO-KS,Light+Noise,pink,TP09,6/5/26,2026,TP09B15,AHY,TE,Y,0.02,47.4,75.9,45.5,,29.91,24.3,104,98,5.8,16.1,13.9,5.7,7.6,1,0,1,MT,6/2/26,6/6/26,,
ATFL,F,3251-02951,KR-OS,Noise,red,AR15,5/21/26,2026,PT15B9,ASY,Eggs,N,0,39.1,59.4,36.3,,27.3,22.1,95.5,95,5.8,16.7,14.7,6.4,8,2,0,,EM,5/5/26,5/10/26,,
ATFL,M,3251-02978,OS-GO,Noise,blue,PT13,5/21/26,2026,PT13B2,ASY,Eggs,N,0,53,70.4,52.1,,28.36,23.1,107,93,5.9,18.4,15.3,6.2,7.3,2,0,0,PK,5/5/26,5/11/26,,
ATFL,F,3251-57357,GS-RW,Noise,red,AR15,6/12/26,2026,AR15B7,SY,Eggs,N,0,45.9,65.7,44.5,,26.5,21,93,85,4.9,17.1,14,6.3,7.4,2,0,0,TP,5/28/26,6/2/26,,
ATFL,M,3251-57358,WS-KY,Noise,red,AR15,6/12/26,2026,AR15B7,ASY,Eggs,N,0,45.9,65.7,44.5,,27.01,22.6,99,93,4.8,19.2,16.2,6,7.1,2,0,1,TV,5/28/26,6/2/26,,
MOBL,M,2791-95515,,Noise,yellow,TP11,5/23/18,2018,TP11B10,AHY,Chx,N,0,46.7,,,46.7,27.9,21.8,110,,,11.5,,,4.7,,0,3,JP,,5/2/18,,
MOBL,F,2731-41212,,Noise,yellow,TP11,5/23/18,2018,TP11B10,AHY,Chx,N,0,46.7,,,46.7,29.5,22.8,110,,,11.9,,,4.7,,1,0,JP,,5/2/18,,
MOBL,M,2791-95514,,Noise,green,TP05,5/18/18,2018,TP05B8,AHY,Chx,N,0,39.4,,,39.4,27.1,21.6,102,,,11.7,,,4.8,,1,3,JP,,4/27/18,,
MOBL,F,2791-95521,,Light,orange,CP04,5/24/18,2018,CP04B4,AHY,Chx,Y,0,31.5,,,31.5,31,21.8,114,,,12.8,,,4.8,,1,,JP,,4/19/18,,
MOBL,F,2791-95522,,Light,yellow,CP12,5/25/18,2018,CP12B10,AHY,Chx,Y,0,35.7,,,35.7,27.8,22.4,107.6,,,11.8,,,5,,1,0,JP,,4/29/18,,
MOBL,F,2731-41202,,Light,yellow,CP12,5/1/18,2018,CP12B4,AHY,Chx,Y,0,41.9,,,41.9,31,21.3,109,,,12.3,,,5,,0,,JP,,4/14/18,,
MOBL,F,2791-95509,,Noise,green,TP05,5/11/18,2018,TP05B8,AHY,Eggs,N,0,48.7,,,48.7,34.8,22,107.5,,,11.5,,,5.1,,3,,JP,,4/27/18,,
MOBL,F,2791-95507,,Control,orange,TP06,5/5/18,2018,TP06B1,AHY,Eggs,N,0,29.5,,,29.5,36.5,22.9,112,,,12.8,,,5.1,,2,,JP,,4/26/18,,
MOBL,F,2731-41201,,Light+Noise,orange,TP04,4/30/18,2018,TP04B4,AHY,Eggs,Y,0,40.4,,,40.4,33.5,21,110,,,,,,,,1,,JP,,4/26/18,,
MOBL,F,2771-10675,,Light,yellow,CP12,5/14/19,2019,CP12B4,AHY,Chx,Y,0,40.8,73,,40.8,33.5,21.7,109,,,13,,4.4,5.1,,2,0,JP,4/11/19,4/25/19,,
MOBL,M,2771-18700,,Control,orange,CP06,5/22/19,2019,CP06B8,AHY,Chx,N,0,36.8,65,,36.8,30,23.3,114,,,12.3,,4.5,5.4,,3,3,JP,4/11/19,4/26/19,,
MOBL,M,2771-10664,,Light+Noise,orange,TP04,5/7/19,2019,TP04B5,AHY,Chx,Y,2.06,46,72.4,,46,28.5,21.9,113,,,10.7,,3.7,5.5,,2,3,JP,4/9/19,4/13/19,,
MOBL,M,2791-95573,,Control,orange,TP06,5/26/19,2019,TP06B9,AHY,Chx,N,0,37.95,,,37.95,32,22.6,112,,,12.3,,4.4,5.5,,2,3,JP,,4/30/19,,
MOBL,F,2771-10676,,Light,orange,CP04,5/16/19,2019,CP04B11,AHY,Chx,Y,0.58,31.1,70.7,,31.1,32,22.2,106,,,13.5,,4.5,5.5,,2,0,JP,4/18/19,4/26/19,,
MOBL,F,2771-10679,,Control,orange,CP06,5/19/19,2019,CP06B8,AHY,Chx,N,0,36.8,65,,36.8,31,23.3,111,,,11.9,,4.5,5.7,,2,0,JP,4/11/19,4/26/19,,
MOBL,F,2791-95476,,Control,orange,CP06,5/16/21,2021,CP06B8,AHY,Eggs,N,0,32.1,63.53,,32.1,33.1,22.4,108,,,13,,4.5,5.2,,2,0,JP,5/2/21,5/5/21,,
MOBL,M,2941-04020,,Light,red,PC13,6/7/21,2021,PC13B1,AHY,Chx,Y,0.77,34.76,69,,34.76,26.5,22.5,107,,,12.6,,4.4,5.4,,2,3,JP,5/7/21,5/14/21,,
MOBL,M,2791-95573,,Control,orange,TP06,5/25/21,2021,TP06B9,AHY,Chx,N,0,37.95,,,37.95,30.9,22.7,113,,,12.6,,4.5,5.4,,2,3,JP,,4/24/21,,
MOBL,F,2791-95477,,Light,orange,CP04,5/16/21,2021,CP04B11,AHY,Eggs,Y,0.57,35.56,,,36.56,34.7,22.2,108,,,12.2,,4.1,5.5,,3,0,JP,5/2/21,5/3/21,,
MOBL,M,2791-95494,,Light,orange,CP04,5/27/21,2021,CP04B11,AHY,Chx,Y,0.57,35.56,,,36.56,28.1,22.5,115,,,12.8,,4.4,5.5,,1,3,JP,5/2/21,5/3/21,,
MOBL,F,2791-95472,,Light+Noise,orange,TP04,5/11/21,2021,TP04B4,AHY,Eggs,Y,0,48.46,69.66,,48.46,31.8,22,107,,,12.5,,4.8,5.5,,3,0,SL,4/24/21,5/2/21,,
MOBL,F,2791-95474,,Control,green,CP05,5/12/21,2021,CP05B04,AHY,Eggs,N,0,39.1,64,,39.13,33.7,22,114,,,14.9,,4.2,3.7,,1,0,WBD,4/27/21,5/5/21,,
MOBL,M,3011-08006,OO-WS,Light,red,PC13,7/18/24,2024,PC13B1-nest2,AHY,Chx,Y,1.26,36.4,65.9,33.5,35.85,,22.7,115,76,5.89,12.8,11.4,4.7,6.75,2,0,,JP,,6/24/24,,
MOBL,F,2821-25064,OR-RS,Light,green,PC6,4/14/24,2024,PC6B1,AHY,TE,Y,0.47,37.6,72,34.4,39.8,27,23,109,62,6.3,13.1,10.2,5.1,4.3,2,0,,SL,4/19/24,5/5/24,,
MOBL,F,2821-25073,YY-OS,Light,red,PC13,5/13/24,2024,PC13B1-nest1 ,AHY,Eggs,Y,1.26,35.3,69.3,28.3,35.85,29.5,20.55,114,81,6,12.35,9.3,4.4,5.3,2,2,,SL,4/12/24,5/1/24,,
MOBL,F,2821-25066,GB-BS,Light,yellow,CP12,4/20/24,2024,CP12B6,AHY,TE,Y,0,34.8,62.9,31.7,34.8,33.5,23,110,65,6.1,12,10.5,4.3,5.8,2,2,,SL,4/16/24,4/28/24,,
MOBL,F,2821-25062,RS-RR,Light,yellow,CP12,4/11/24,2024,CP12B12,AHY,TE,Y,0.55,34.7,72.2,26.7,36.4,27.5,22.8,112,63,7.2,11,10.2,4.25,5.9,3,1,,SL,5/1/24,5/13/24,,
MOBL,F,2821-25064,OR-RS,Light,green,PC6,6/4/24,2024,PC6B1,AHY,Chx,Y,0.47,39.8,70.7,33.9,39.8,23.76,,,,,,,,,1,0,,TP,,,,
MOBL,F,3011-18038,GM-KS,Light,green,PC6,5/21/25,2025,PC6B6,ASY,Eggs,Y,0.19,35.1,63.8,32.9,32.34,31.84,23.6,108,62,7.2,13,9.8,4.4,5.3,2,0,,EM,5/5/25,5/9/25,,
MOBL,F,3011-18100,BS-WG,Light,yellow,CP12,5/12/25,2025,CP12B4,ASY,Eggs,Y,0,31.6,65.7,29.5,31.6,30.65,20.7,110,69,6.1,11.2,8.7,4,4.6,2,0,,TP,4/10/25,5/3/25,,
MOBL,M,3011-18091,GS-GO,Control,red,CP08,4/23/25,2025,CP08B9,ASY,TE,N,0,40.7,64.6,39.1,46.3,25.51,21,113.5,76,4.6,12.7,9.6,4.1,4.5,2,0,3,TV,4/17/25,,,
MOBL,M,3011-18086,YS-YY,Light,yellow,CP12,4/12/25,2025,CP12B13,ASY,TE,Y,0,31.9,72.5,28.7,34,26.47,23,117,82,4.7,12.7,9.7,3.8,4.5,4,1,3,TV,4/12/25,4/19/25,,
MOBL,F,3011-18066,BO-YS,Light+Noise,green,TP07,5/29/25,2025,TP07B11,ASY,Eggs,Y,1.09,34.9,62,33,31,30.01,22.2,110,70,5.2,13.9,10.1,4.4,5.5,2,2,0,TV,5/1/25,5/15/25,,
MOBL,F,2821-25062,RS-RR,Light,yellow,CP12,4/9/25,2025,CP12B12,ASY,TE,Y,0.76,33.3,26.8,26.3,33.3,27.86,22,113,72,6.1,13.5,10.8,4.2,5.7,2,1,,TV,4/24/25,5/6/25,,
MOBL,F,3241-54878,OS-GO,Control,orange,CP06,5/1/26,2026,CP06B3,SY,Eggs,N,0,31.2,60.7,24.8,,30.49,22.3,109,72,5.1,12.7,10.9,3.9,4.9,3,2,,TV,4/9/26,4/21/26,,
MOBL,M,3241-54830,MS-YY,Control,green,CP05,5/12/26,2026,CP05B4,SY,Eggs,N,0,30.1,59.2,27.3,,27.86,20.8,113.5,69,5.2,14.9,12.4,4.4,4.9,3,1,3,TV,4/20/26,5/5/26,,
MOBL,F,3241-54831,WS-KR,Control,green,CP05,5/12/26,2026,CP05B4,ASY,Eggs,N,0,30.1,59.2,27.3,,30.61,23.2,109,61,5.7,12.8,10.4,4.2,6.3,3,1,,JT,4/20/26,5/5/26,,
MOBL,M,3241-54866,KS-GY,Light,yellow,CP12,4/16/26,2026,CP12B13,SY,Eggs,Y,0,36,63.1,31.5,,28.29,21.6,114,76,4.7,13.7,9.9,4,4.6,2,1,3,TV,,4/3/26,,
MOBL,F,3241-54742,OR-KS,Light,yellow,CP12,4/28/26,2026,CP12B14,SY,Eggs,Y,1.19,32,70.3,30,,27.4,21,108,68,5.3,11.7,8.9,4.6,4.6,2,0,,TP,4/8/26,4/18/26,,
